                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0516,                 5.7163,                 2.1218,                0.36461,                 0.0529,                0.03082,                0.01597,                 2.1463,                 6.7286,                 2.3377,              5.239e-05,              5.239e-05,              5.239e-05
                      2,                 1.9277,                 3.9859,                 1.9148,                0.56221,                0.10693,                 0.1102,                 0.0543,                 2.0837,                 3.1685,                  2.161,             0.00010225,             0.00010225,             0.00010225
                      3,                 1.8151,                 3.2801,                   1.79,                0.58952,                0.15772,                0.19228,                0.09438,                 2.0295,                 3.0086,                 2.1224,             0.00014783,             0.00014783,             0.00014783
                      4,                 1.7838,                 2.8768,                 1.7689,                0.59828,                0.20352,                0.25652,                0.12017,                 2.0307,                 2.6595,                 2.1492,             0.00014892,             0.00014892,             0.00014892
                      5,                 1.7852,                 2.6604,                 1.7824,                0.48458,                0.28558,                0.28583,                  0.126,                 2.0194,                 2.5343,                 2.1279,             0.00014892,             0.00014892,             0.00014892
                      6,                 1.6752,                 2.4043,                 1.7026,                0.49444,                0.29491,                0.32505,                0.15833,                 2.0308,                 2.3283,                 2.1072,             0.00014223,             0.00014223,             0.00014223
                      7,                 1.7055,                 2.3435,                 1.7242,                0.42196,                0.31982,                0.33649,                 0.1635,                 1.9751,                 2.2528,                 2.0726,             0.00013554,             0.00013554,             0.00013554
                      8,                 1.6527,                 2.1543,                 1.6924,                0.48475,                0.33509,                0.32276,                0.15169,                 1.9577,                 2.3971,                  2.092,             0.00012885,             0.00012885,             0.00012885
                      9,                 1.5797,                 2.0178,                 1.6377,                0.53474,                0.33509,                0.35493,                0.16811,                 2.0029,                 2.2714,                 2.1053,             0.00012215,             0.00012215,             0.00012215
                     10,                  1.612,                 1.9239,                 1.6489,                0.43816,                0.38018,                0.37091,                0.17562,                 1.9539,                 2.1605,                 2.0785,             0.00011546,             0.00011546,             0.00011546
                     11,                 1.5405,                  1.883,                 1.6074,                0.40992,                0.36736,                0.34491,                0.15736,                 2.0242,                 2.1507,                 2.1341,             0.00010877,             0.00010877,             0.00010877
                     12,                 1.5657,                 1.8152,                 1.6166,                0.49238,                0.38668,                0.38943,                0.17733,                 1.9287,                 2.1319,                 2.0365,             0.00010208,             0.00010208,             0.00010208
                     13,                 1.4768,                 1.7408,                 1.5616,                 0.4279,                0.37856,                0.39012,                0.18762,                 1.9348,                 2.0703,                 2.0565,             9.5384e-05,             9.5384e-05,             9.5384e-05
                     14,                 1.5045,                 1.6667,                 1.5496,                0.40928,                0.41541,                0.38784,                0.18293,                 1.9399,                 2.0544,                 2.0612,             8.8691e-05,             8.8691e-05,             8.8691e-05
                     15,                  1.503,                  1.642,                  1.577,                0.37348,                0.40345,                0.38761,                0.17637,                 1.9661,                 2.0438,                 2.0739,             8.1999e-05,             8.1999e-05,             8.1999e-05
                     16,                 1.5572,                 1.7073,                 1.7096,                0.46096,                0.39483,                0.40038,                0.17541,                 1.9792,                 2.1037,                 2.0995,             7.5306e-05,             7.5306e-05,             7.5306e-05
                     17,                 1.5337,                 1.5953,                 1.6864,                0.41312,                0.44421,                0.42664,                0.19825,                 1.9268,                 1.9621,                 2.0373,             6.8614e-05,             6.8614e-05,             6.8614e-05
                     18,                 1.4619,                 1.5415,                 1.6308,                 0.5521,                0.38693,                0.43465,                0.20205,                 1.9242,                 1.9836,                  2.042,             6.1922e-05,             6.1922e-05,             6.1922e-05
                     19,                 1.4461,                 1.4562,                 1.5944,                0.50776,                0.39814,                0.41469,                0.19525,                  1.925,                 1.9695,                 2.0584,             5.5229e-05,             5.5229e-05,             5.5229e-05
                     20,                 1.4028,                  1.417,                 1.5926,                0.55609,                0.39325,                0.43677,                0.20329,                 1.9406,                 1.9765,                 2.0528,             4.8537e-05,             4.8537e-05,             4.8537e-05
                     21,                 1.3643,                 1.3245,                 1.5595,                0.41991,                0.44772,                0.43157,                0.20681,                 1.9335,                 1.9605,                 2.0472,             4.1844e-05,             4.1844e-05,             4.1844e-05
                     22,                  1.368,                 1.3075,                 1.5375,                0.44341,                0.45173,                0.44263,                0.21227,                 1.9198,                 1.9403,                 2.0422,             3.5152e-05,             3.5152e-05,             3.5152e-05
                     23,                 1.3467,                  1.304,                 1.5489,                0.48224,                0.44357,                0.43561,                0.21161,                 1.9251,                  1.961,                 2.0528,              2.846e-05,              2.846e-05,              2.846e-05
                     24,                 1.3037,                  1.245,                 1.4995,                0.45754,                0.44676,                0.42891,                0.20833,                 1.9038,                 1.9532,                 2.0418,             2.1767e-05,             2.1767e-05,             2.1767e-05
                     25,                 1.3076,                 1.2156,                 1.4962,                0.47401,                   0.43,                0.43594,                0.21435,                 1.9064,                  1.948,                 2.0414,             1.5075e-05,             1.5075e-05,             1.5075e-05
